OPTION CODE,LAND USE CODE,DESCRIPTION,,
AB11,AC76,GERMAN CHAMOMILE,,
AB11,AC77,CORN CHAMOMILE,,
AB11,AC78,CORN COCKLE,,
AB11,AC79,CORN FLOWER,,
AB11,AC80,CORN MARIGOLD,,
AB11,AC81,POPPY,,
AB11,AC82,FIELD FOR-GET-ME-NOT,,
AB11,AC83,FOX-GLOVE,,
AB11,AC84,HAY RATTLE,,
AB11,AC85,HEDGE BEDSTRAW,,
AB11,AC86,TEASEL,,
AB11,AC87,QUINOA,,
AB11,AC88,SUNFLOWER,,
AB11,AC89,CRESS,,
AB11,AC90,GLADIOLI,,
AB11,AC91,ECHIUM,,
AB11,AC92,SORGHUM,,
AB11,AC93,STICKY NIGHTSHADE,,
AB11,AC94,SWEET WILLIAMS,,
AB11,AC95,WALLFLOWER,,
AB11,AC96,SAMPHIRE,,
AB11,AC97,ASTER (CHINESE),,
AB11,AC98,LARKSPUR,,
AB11,AC99,NIGELLA,,
AB11,BF11,HALF HEDGE,,
AB11,BF15,BUFFER STRIP,,
AB11,CA01,CATCH CROP,,
AB11,CA02,COVER CROP,,
AB11,CW01,WATERCRESS,,
AB11,FA01,FALLOW,,
AB11,IW11,DRAIN/DITCH/DYKE ON A BOUNDARY,,
AB11,LG01,CHICKPEA,,
AB11,LG02,FENUGREEK,,
AB11,LG03,FIELD BEANS - SPRING,,
AB11,LG04,GREEN BEANS,,
AB11,LG05,LENTILS,,
AB11,LG06,LUPINS,,
AB11,LG07,PEAS - SPRING,,
AB11,LG08,SOYA,,
AB11,LG09,COWPEA,,
AB11,LG10,BIRD'S FOOT TREFOIL,,
AB11,LG11,LUCERNE,,
AB11,LG12,SWEET CLOVER,,
AB11,LG13,SAINFOIN,,
AB11,LG14,CLOVER,,
AB11,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
AB11,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
AB11,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
AB11,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
