SBI,SCHEME,ORD_SURVEY,NG_NUMBER,AGREEMENT_REF,OPTION_CODE,OPTION_START_DATE,OPTION_END_DATE,OPTION_QUANTITY,UNIT_OF_MEASURE
106323049,CS,SD7157,4508,1449271,GS6,1/1/23 0:00,12/31/27 0:00,19.62,Hectares
106451432,CS,NY6148,1088,1450878,UP2,1/1/23 0:00,12/31/27 0:00,48.4498,Hectares
121428499,CS,SD6252,6030,1455034,UP3,1/1/23 0:00,12/31/32 0:00,10.6865,Hectares
111996463,CS,SD5998,7832,1456181,UP2,1/1/23 0:00,12/31/27 0:00,12.4,Hectares
200683998,CS,SD5862,781,1456925,UP2,1/1/23 0:00,12/31/27 0:00,8.33,Hectares
200683998,CS,SD5862,3618,1456925,UP2,1/1/23 0:00,12/31/27 0:00,14.184,Hectares
200725976,CS,NY3722,4482,1607407,TE8,1/1/24 0:00,12/31/26 0:00,120,Trees
112179718,CS,NY6868,1992,1629259,UP3,1/1/24 0:00,12/31/33 0:00,10.4305,Hectares
106311944,CS,NY6942,4864,1629481,WD9,1/1/24 0:00,12/31/28 0:00,1.5242,Hectares
106317109,CS,NY7651,2688,1639009,UP2,1/1/24 0:00,12/31/28 0:00,33.3029,Hectares
200778286,CS,SD9419,122,1643273,RP1,1/1/24 0:00,12/31/26 0:00,1,Units
107252284,CS,NY7702,6540,1643093,TE4A,1/1/24 0:00,12/31/26 0:00,450,Trees
107002145,CS,NY4800,4446,1642072,FG2,1/1/24 0:00,12/31/26 0:00,260,Metres
106912690,CS,SD8225,2622,1644743,FG2,1/1/24 0:00,12/31/26 0:00,233,Metres
106268747,SFI23,NT8713,5870,1662236,MOR1,12/1/23 0:00,11/30/26 0:00,2.7363,Hectares
113438450,CS,NY8421,1359,1635734,UP3,1/1/24 0:00,12/31/33 0:00,56.3969,Hectares
106626626,SFI23,SD9723,3604,1658241,MOR1,12/1/23 0:00,11/30/26 0:00,0.6357,Hectares
106626626,SFI23,SD9723,9923,1658241,MOR1,12/1/23 0:00,11/30/26 0:00,0.1819,Hectares
106717078,CS,SD8177,4143,1481556,BN12,7/1/23 0:00,6/30/26 0:00,110,Metres
106602786,CS,NZ8401,419,1654367,GS1,1/1/24 0:00,12/31/28 0:00,0.0929,Hectares
106505403,SFI23,SD7247,5143,1668305,MOR1,1/1/24 0:00,12/31/26 0:00,25.4959,Hectares
106770508,SFI23,SE1703,2821,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,3.4988,Hectares
106242245,SFI23,SD8327,453,1690184,MOR1,4/1/24 0:00,3/31/27 0:00,79.739,Hectares
106242245,SFI23,SD8628,1080,1690184,MOR1,4/1/24 0:00,3/31/27 0:00,2.3142,Hectares
106538607,SFI23,SE1558,8542,1695772,MOR1,2/1/24 0:00,1/31/27 0:00,1.945,Hectares
200868230,CS,SD8825,1504,1663869,BN14,1/1/24 0:00,12/31/26 0:00,155,Metres
200868230,CS,SD8824,397,1663869,FG2,1/1/24 0:00,12/31/26 0:00,410,Metres
200093609,SFI Expanded Offer,SK0159,7764,1912807,WBD1,10/1/24 0:00,9/30/27 0:00,1,Units
106311352,SFI Expanded Offer,NT8501,9542,1952863,CMOR1,12/1/24 0:00,11/30/27 0:00,5.5166,Hectares
106296912,SFI Expanded Offer,SK0190,4192,1948270,UPL7,1/1/25 0:00,12/31/27 0:00,2.5404,Hectares
106798759,SFI Expanded Offer,SE0905,7351,1939789,CMOR1,4/1/25 0:00,3/31/28 0:00,0.9771,Hectares
106798759,SFI Expanded Offer,SE1006,4495,1939789,SPM5,4/1/25 0:00,3/31/28 0:00,0.4116,Hectares
106798759,SFI Expanded Offer,SE0905,7351,1939789,SPM5,4/1/25 0:00,3/31/28 0:00,0.9771,Hectares
107034848,SFI Expanded Offer,NY8936,3581,1942609,UPL2,6/1/25 0:00,5/31/28 0:00,2.3035,Hectares
106542807,SFI Expanded Offer,SE0251,8106,1984154,UPL2,3/1/25 0:00,2/29/28 0:00,4.2042,Hectares
107198210,SFI Expanded Offer,NY7405,4155,1982485,CMOR1,3/1/25 0:00,2/29/28 0:00,33.2868,Hectares
106550524,SFI Expanded Offer,SE1378,5897,1980345,UPL5,2/1/25 0:00,1/31/28 0:00,15.8356,Hectares
200941193,SFI Expanded Offer,NY8098,5578,1995913,CMOR1,3/1/25 0:00,2/29/28 0:00,35.2055,Hectares
118586667,SFI Expanded Offer,SD7518,3599,2178234,UPL3,11/1/25 0:00,10/31/28 0:00,8.7789,Hectares
200891887,SFI Expanded Offer,SD8825,7330,2017819,UPL10,5/1/25 0:00,4/30/28 0:00,0.6329,Hectares
106204432,CS,SD4992,925,1264030,SP6,1/1/22 0:00,12/31/26 0:00,20.3751,Hectares
121428499,CS,SD6252,2415,1455034,UP3,1/1/23 0:00,12/31/32 0:00,64.1189,Hectares
121428499,CS,SD6251,4625,1455034,UP6,1/1/23 0:00,12/31/27 0:00,1.014,Hectares
200241697,CS,NT8411,3466,1461829,WD8,1/1/22 0:00,12/31/26 0:00,0.31,Hectares
112179718,CS,NY6769,3010,1629259,SP8,1/1/24 0:00,12/31/28 0:00,248.2443,Hectares
106311944,CS,NY6945,7640,1629481,SP8,1/1/24 0:00,12/31/28 0:00,22.4,Hectares
106311944,CS,NY6942,4864,1629481,WD7,1/1/24 0:00,12/31/28 0:00,1.5242,Hectares
106311944,CS,NY6944,7345,1629481,SP8,1/1/24 0:00,12/31/28 0:00,24.1,Hectares
106311944,CS,NY6844,8166,1629481,UP3,1/1/24 0:00,12/31/33 0:00,101.2215,Hectares
106204421,CS,SD5361,6542,1626247,SP3,1/1/24 0:00,12/31/28 0:00,4.5,Hectares
106482576,CS,SD4295,2505,1635350,SP3,1/1/24 0:00,12/31/28 0:00,15,Hectares
